Parameter,Scope,RevitUIGroup,Categories,DataType,DefaultValue,PopulateFromAppendix,AppendixHeaderPriority,Export,SharedParameterGroup,GUID,Description,Notes
TD_Clearance_Area,FamilyType,Dimensions,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",AREA,,TRUE,TD_Clearance_Area|Clearance_Area|Clearance Area,TRUE,TD_Physical_Characteristics,dc2c38f7-3d03-4922-b48b-98d55213a81d,Required clearance area.,Canonical family TYPE data.
TD_Color,FamilyType,Materials and Finishes,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Colour|TD_Color|Colour|Color,TRUE,TD_Physical_Characteristics,fa8333aa-f78e-4e79-b12e-64cc1a2776c7,Primary asset color.,Canonical family TYPE data.
TD_Description,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Description [Standard]|TD_Description (Standard)|TD_Description_Standard|TD_Description,TRUE,TD_Asset_Identification,e6db407a-a267-4969-854f-eea1abd37e6a,Asset description.,Canonical family TYPE data.
TD_Furniture_Footprint_Area,FamilyType,Dimensions,"Furniture, Furniture Systems",AREA,,TRUE,TD_Furniture_Footprint_Area|Furniture_Footprint_Area|Furniture Footprint Area,TRUE,TD_Physical_Characteristics,3fa9c3ed-1d16-46fb-a7ff-b6774a6b0cdc,Furniture footprint area.,Canonical family TYPE data.
TD_Manufacturer,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Manufacturer|Manufacturer,TRUE,TD_Asset_Identification,83d2d279-4e9a-4194-bf3e-b769596da3d5,Manufacturer name.,Canonical family TYPE data.
TD_Manufacturer_Model,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Manufacturer_Model|Manufacturer_Model|Manufacturer Model,TRUE,TD_Asset_Identification,33d06a34-6787-4d94-9696-cce9c1daf140,Manufacturer model.,Canonical family TYPE data.
TD_Material,FamilyType,Materials and Finishes,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Material|Material,TRUE,TD_Physical_Characteristics,9df2a305-9276-4959-8d27-1c42f8376bf1,Primary material.,Canonical family TYPE data.
TD_Omniclass_Code,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Omniclass_Code|Omniclass_Code|Omniclass Code,TRUE,TD_Asset_Identification,3f1e1134-87ff-4df2-8c77-e32ce57b1301,OmniClass code.,Canonical family TYPE data.
TD_Type_ID,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,TD_Type_ID,TRUE,TD_Asset_Identification,ea791935-2836-4e36-82d9-3f2622adf58f,Standardized asset type ID.,Manual lookup key; enter this first in each family type.
TD_Uniformat_Code,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Uniformat_Code|Uniformat_Code|Uniformat Code,TRUE,TD_Asset_Identification,ba8e1042-68b3-4249-a72b-eb574914b315,UniFormat code.,Canonical family TYPE data.
