Parameter,Scope,RevitUIGroup,Categories,DataType,DefaultValue,PopulateFromAppendix,AppendixHeaderPriority,Export,SharedParameterGroup,Description,Notes
TD_Clearance_Area,FamilyType,Dimensions,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",AREA,,TRUE,TD_Clearance_Area|Clearance_Area|Clearance Area,TRUE,TD_Physical_Characteristics,Required clearance area.,Canonical family TYPE data.
TD_Color,FamilyType,Materials and Finishes,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Colour|TD_Color|Colour|Color,TRUE,TD_Physical_Characteristics,Primary asset color.,Canonical family TYPE data.
TD_Description,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Description [Standard]|TD_Description (Standard)|TD_Description_Standard|TD_Description,TRUE,TD_Asset_Identification,Asset description.,Canonical family TYPE data.
TD_Furniture_Footprint_Area,FamilyType,Dimensions,"Furniture, Furniture Systems",AREA,,TRUE,TD_Furniture_Footprint_Area|Furniture_Footprint_Area|Furniture Footprint Area,TRUE,TD_Physical_Characteristics,Furniture footprint area.,Canonical family TYPE data.
TD_Manufacturer,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Manufacturer|Manufacturer,TRUE,TD_Asset_Identification,Manufacturer name.,Canonical family TYPE data.
TD_Manufacturer_Model,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Manufacturer_Model|Manufacturer_Model|Manufacturer Model,TRUE,TD_Asset_Identification,Manufacturer model.,Canonical family TYPE data.
TD_Material,FamilyType,Materials and Finishes,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Material|Material,TRUE,TD_Physical_Characteristics,Primary material.,Canonical family TYPE data.
TD_Omniclass_Code,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Omniclass_Code|Omniclass_Code|Omniclass Code,TRUE,TD_Asset_Identification,OmniClass code.,Canonical family TYPE data.
TD_Type_ID,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,FALSE,TD_Type_ID,TRUE,TD_Asset_Identification,Standardized asset type ID.,Manual lookup key; enter this first in each family type.
TD_Uniformat_Code,FamilyType,Identity Data,"Furniture, Furniture Systems, Casework, Specialty Equipment, Mechanical Equipment, Electrical Equipment, Plumbing Fixtures, Lighting Fixtures",TEXT,,TRUE,TD_Uniformat_Code|Uniformat_Code|Uniformat Code,TRUE,TD_Asset_Identification,UniFormat code.,Canonical family TYPE data.
